Participant,Exercise,Exercise Key,Set,Robot CSV Row,Video CSV Row,Target Reps,Robot Total Attempts,Video Total Reps,Robot Correct Reps,Video Correct Reps,Robot Incorrect Reps,Video Incorrect Reps,Notes,Correct Rep Error,Correct Rep Absolute Error,Total Attempt Error,Total Attempt Absolute Error
P4,Tricep Pushdown,tricep pushdown,1,36,36,8.0,19.0,14.0,8.0,8.0,11.0,6.0,,0.0,0.0,5.0,5.0
P4,Tricep Pushdown,tricep pushdown,2,37,37,8.0,24.0,10.0,8.0,6.0,16.0,4.0,,2.0,2.0,14.0,14.0
P4,Tricep Pushdown,tricep pushdown,3,38,38,8.0,19.0,12.0,8.0,12.0,11.0,0.0,,-4.0,4.0,7.0,7.0
P7,Leg Extension,leg extension,1,53,53,12.0,19.0,12.0,12.0,12.0,7.0,0.0,,0.0,0.0,7.0,7.0
P7,Leg Extension,leg extension,2,54,54,12.0,14.0,12.0,12.0,12.0,2.0,0.0,,0.0,0.0,2.0,2.0
P7,Leg Extension,leg extension,3,55,55,12.0,14.0,13.0,12.0,12.0,2.0,1.0,,0.0,0.0,1.0,1.0
P7,Russian Twist,russian twist,2,51,52,25.0,25.0,42.0,25.0,42.0,0.0,0.0,,-17.0,17.0,-17.0,17.0
P7,Squat,squat,1,48,48,10.0,13.0,10.0,10.0,10.0,3.0,0.0,,0.0,0.0,3.0,3.0
P7,Squat,squat,2,49,49,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P7,Squat,squat,3,50,50,10.0,12.0,10.0,10.0,10.0,2.0,0.0,,0.0,0.0,2.0,2.0
P8,Hammer Curl,hammer curl,1,61,61,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P8,Lateral Raise,lateral raise,1,62,62,10.0,11.0,10.0,10.0,10.0,1.0,0.0,,0.0,0.0,1.0,1.0
P8,Push-up,push-up,1,56,56,9.0,17.0,11.0,9.0,11.0,8.0,0.0,,-2.0,2.0,6.0,6.0
P8,Push-up,push-up,2,57,57,9.0,11.0,10.0,9.0,10.0,2.0,0.0,,-1.0,1.0,1.0,1.0
P8,Squat,squat,1,58,58,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0
P8,Squat,squat,2,59,59,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0
P8,Squat,squat,3,60,60,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0
P8,Tricep Pushdown,tricep pushdown,1,63,63,12.0,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0
P8,Tricep Pushdown,tricep pushdown,2,64,64,12.0,13.0,11.0,12.0,11.0,1.0,0.0,,1.0,1.0,2.0,2.0
P8,Tricep Pushdown,tricep pushdown,3,65,65,12.0,12.0,11.0,12.0,11.0,0.0,0.0,,1.0,1.0,1.0,1.0
P9,Chest Fly Machine,chest fly machine,1,68,69,12.0,15.0,14.0,12.0,14.0,3.0,0.0,,-2.0,2.0,1.0,1.0
P9,Chest Fly Machine,chest fly machine,2,69,70,12.0,19.0,9.0,12.0,9.0,7.0,0.0,,3.0,3.0,10.0,10.0
P9,Chest Fly Machine,chest fly machine,3,70,71,12.0,15.0,15.0,12.0,15.0,3.0,0.0,,-3.0,3.0,0.0,0.0
P9,Push-up,push-up,1,66,66,10.0,55.0,22.0,4.0,0.0,51.0,22.0,,4.0,4.0,33.0,33.0
P9,Squat,squat,1,67,68,11.0,12.0,11.0,11.0,11.0,1.0,0.0,,0.0,0.0,1.0,1.0
